1,TCH-AIDS-01,Dr. Ram Kumar,ram.aids@college.edu
2,TCH-AIDS-02,Dr. Lakshmi Priya,lakshmi.aids@college.edu
3,TCH-AIDS-03,Mr. Suresh B,suresh.aids@college.edu
4,TCH-AIDS-04,Ms. Kavya R,kavya.aids@college.edu
5,TCH-AIML-01,Dr. Manoj K,manoj.aiml@college.edu
6,TCH-AIML-02,Ms. Revathi S,revathi.aiml@college.edu
7,TCH-AIML-03,Dr. Pradeep N,pradeep.aiml@college.edu
8,TCH-AIML-04,Mr. Arun V,arun.aiml@college.edu
9,TCH-CSE-01,Dr. Raghavan P,raghavan.cse@college.edu
10,TCH-CSE-02,Ms. Divya K,divya.cse@college.edu
11,TCH-CSE-03,Dr. Hari Shankar,hari.cse@college.edu
12,TCH-CSE-04,Ms. Swetha M,swetha.cse@college.edu
13,TCH-MATH-01,Dr. Meenakshi Iyer,meenakshi.math@college.edu
14,TCH-PHY-01,Dr. Srinivasan R,srinivasan.physics@college.edu
15,TCH-ENG-01,Ms. Anjali Thomas,anjali.english@college.edu
